Time,FL Speed,FR Speed,FA Speed,RL Speed,RR Speed,RA Speed,dA Speed,dA* Speed,Distance,Average Acceleration,Steering Angle,Steering Speed,TCS OFF Switch,TCS OFF Status,TCS Action,ABD Action,ABS Pump,RPM,APP,TPS,ECT,IAT,ECT offset,Brake On,Fan State,Torque ABS1,Torque ABS2,Torque ECM1,Torque ECM3,ABS Sensors Failure,Speed Stage,Distance Stage,Current Gear,Shift Light,Emergency Blinker,
1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62,0,0,0,0,0,0,13.08,0,3,101,70,0,0,3,250,250,44,37,0,0,0,0,0,0,
1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62,0,0,1,0,0,0,13.00,0,3,101,70,0,0,3,250,250,42,37,0,0,0,0,0,0,
1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62,0,0,1,0,0,0,12.79,0,3,101,70,0,0,3,250,250,41,38,0,0,0,0,0,0,
1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62,0,0,1,0,0,0,12.78,0,3,101,70,0,0,3,250,250,41,38,0,0,0,0,0,0,
1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62,0,0,1,0,0,0,12.82,0,3,101,70,0,0,3,250,250,39,38,0,0,0,0,0,0,
1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62,1,0,1,0,0,0,12.96,0,3,101,70,0,0,3,250,250,38,38,0,0,0,0,0,0,
1.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62,2,0,1,0,0,0,13.04,0,3,101,70,0,0,3,250,250,39,38,0,0,0,0,0,0,
1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62,3,0,1,0,0,0,12.98,0,3,101,70,0,0,3,250,250,37,38,0,0,0,0,0,0,
1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62,4,0,1,0,0,0,13.00,0,3,101,70,0,0,3,250,250,37,38,0,0,0,0,0,0,
1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,5,0,1,0,0,0,12.88,0,3,101,70,0,0,3,250,250,36,38,0,0,0,0,0,0,
1.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,5,0,1,0,0,0,12.87,0,3,101,70,0,0,3,250,250,35,38,0,0,0,0,0,0,
1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64,4,0,1,0,0,0,12.77,0,3,101,70,0,0,3,250,250,34,38,0,0,0,0,0,0,
1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64,3,0,1,0,0,0,12.63,0,3,101,70,0,0,3,250,250,34,38,0,0,0,0,0,0,
1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64,2,0,1,0,0,0,12.56,0,3,101,70,0,0,3,250,250,33,38,0,0,0,0,0,0,
1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64,1,0,1,0,0,0,12.56,0,3,101,70,0,0,3,250,250,33,38,0,0,0,0,0,0,
1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,2,0,1,0,0,0,12.47,0,3,101,70,0,0,3,250,250,33,38,0,0,0,0,0,0,
1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,3,0,1,0,0,0,12.43,0,3,101,70,0,0,3,250,250,32,38,0,0,0,0,0,0,
1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,5,0,1,0,0,0,12.45,0,3,101,70,0,0,3,250,250,32,38,0,0,0,0,0,0,
1.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66,7,0,1,0,0,0,12.40,0,3,101,70,0,0,3,250,250,32,39,0,0,0,0,0,0,
1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66,7,0,1,0,0,0,12.37,0,3,101,70,0,0,3,250,250,32,39,0,0,0,0,0,0,
1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,7,0,1,0,0,0,12.38,0,3,101,70,0,0,3,250,250,32,39,0,0,0,0,0,0,
1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,4,0,1,0,0,0,12.27,0,3,101,70,0,0,3,250,250,32,39,0,0,0,0,0,0,
2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,1,0,1,0,0,0,12.27,0,3,101,70,0,0,3,250,250,32,39,0,0,0,0,0,0,
2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,1,0,1,0,0,0,12.16,0,3,101,70,0,0,3,250,250,31,39,0,0,0,0,0,0,
2.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,1,0,1,0,0,0,12.07,0,3,101,70,0,0,3,250,250,31,39,0,0,0,0,0,0,
2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,0,0,1,0,0,0,11.98,0,3,101,70,0,0,3,250,250,31,39,0,0,0,0,0,0,
2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,0,0,1,0,0,0,11.88,0,3,101,70,0,0,3,250,250,31,39,0,0,0,0,0,0,
2.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,0,0,1,0,0,0,11.83,0,3,101,70,0,0,3,250,250,31,39,0,0,0,0,0,0,
2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,0,0,1,0,0,0,11.73,0,3,101,70,0,0,3,250,250,32,39,0,0,0,0,0,0,
2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,0,0,1,0,0,0,11.59,0,3,101,70,0,0,3,250,250,34,40,0,0,0,0,0,0,
2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,0,0,1,0,0,0,11.57,0,3,101,70,0,0,3,250,250,31,40,0,0,0,0,0,0,
2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,1,0,1,0,0,0,11.48,0,3,101,70,0,0,3,250,250,31,40,0,0,0,0,0,0,
2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,0,0,1,0,0,0,11.39,0,3,101,70,0,0,3,250,250,31,40,0,0,0,0,0,0,
2.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,1,0,1,0,0,0,11.28,0,3,101,70,0,0,3,250,250,34,40,0,0,0,0,0,0,
2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,0,0,1,0,0,0,11.28,0,3,101,70,0,0,3,250,250,34,40,0,0,0,0,0,0,
2.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,0,0,1,0,0,0,11.32,0,3,101,70,0,0,3,250,250,33,40,0,0,0,0,0,0,
2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,0,0,1,0,0,0,11.34,0,3,101,70,0,0,3,250,250,31,40,0,0,0,0,0,0,
2.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,0,0,1,0,0,0,11.31,0,3,101,70,0,0,3,250,250,31,40,0,0,0,0,0,0,
2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,2,0,1,0,0,0,11.23,0,3,101,70,0,0,3,250,250,30,40,0,0,0,0,0,0,
2.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,2,0,1,0,0,0,10.93,0,3,101,70,0,0,3,250,250,34,40,0,0,0,0,0,0,
2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67,7,0,1,0,0,0,10.89,0,3,101,70,0,0,3,250,250,34,40,0,0,0,0,0,0,
2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66,7,0,1,0,0,0,10.84,0,3,101,70,0,0,3,250,250,33,41,0,0,0,0,0,0,
2.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,8,0,1,0,0,0,10.75,0,2,101,70,0,0,3,250,250,34,41,0,0,0,0,0,0,
2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,4,0,1,0,0,0,10.77,0,2,101,70,0,0,3,250,250,35,41,0,0,0,0,0,0,
2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,1,0,1,0,0,0,10.79,0,2,101,70,0,0,3,250,250,31,41,0,0,0,0,0,0,
2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,10.73,0,2,101,70,0,0,3,250,250,32,41,0,0,0,0,0,0,
2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,10.64,0,2,101,70,0,0,3,250,250,31,41,0,0,0,0,0,0,
2.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,1,0,1,0,0,0,10.51,0,2,101,70,0,0,3,250,250,34,41,0,0,0,0,0,0,
2.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,10.40,0,2,101,70,0,0,3,250,250,35,41,0,0,0,0,0,0,
2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,10.40,0,3,101,70,0,0,3,250,250,35,41,0,0,0,0,0,0,
2.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,10.40,0,3,101,70,0,0,3,250,250,32,42,0,0,0,0,0,0,
2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,10.42,0,3,101,70,0,0,3,250,250,31,42,0,0,0,0,0,0,
2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,10.39,0,3,101,70,0,0,3,250,250,31,41,0,0,0,0,0,0,
2.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,10.39,0,3,101,70,0,0,3,250,250,31,41,0,0,0,0,0,0,
2.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,10.23,0,3,101,70,0,0,3,250,250,32,42,0,0,0,0,0,0,
2.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,10.13,0,3,101,70,0,0,3,250,250,32,42,0,0,0,0,0,0,
2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,10.13,0,3,101,70,0,0,3,250,250,32,42,0,0,0,0,0,0,
2.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.88,0,3,101,70,0,0,3,250,250,37,42,0,0,0,0,0,0,
2.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.88,0,3,101,70,0,0,3,250,250,37,42,0,0,0,0,0,0,
2.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.94,0,3,101,70,0,0,3,250,250,33,42,0,0,0,0,0,0,
2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.89,0,3,101,70,0,0,3,250,250,34,42,0,0,0,0,0,0,
2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.89,0,3,101,70,0,0,3,250,250,34,42,0,0,0,0,0,0,
2.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.77,0,3,101,70,0,0,3,250,250,35,42,0,0,0,0,0,0,
2.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.77,0,3,101,70,0,0,3,250,250,35,42,0,0,0,0,0,0,
